acc_x[mg],acc_y[mg],acc_z[mg]
2.928,-27.816,1003.328
0.976,-23.424,994.056
0.0,-22.936,990.64
-4.392,-35.624,1005.768
-3.416,-55.632,1004.792
-0.976,-56.608,1009.672
-6.344,-24.4,1011.136
-5.856,-14.64,1013.088
-10.248,-42.456,1013.576
-7.808,-60.024,1001.376
-3.416,-49.776,1004.792
5.856,-36.6,1001.376
6.832,-28.792,992.592
-6.344,-19.52,1001.376
-7.32,-32.696,1005.28
-5.856,-52.216,1008.208
-10.736,-51.728,1005.768
-3.416,-45.872,998.448
-5.368,-40.016,1005.768
2.44,-28.304,1001.376
-10.736,-38.552,1005.768
-17.568,-46.848,1007.72
-9.76,-47.336,1006.256
-0.976,-43.92,1007.232
-1.952,-32.208,1003.816
-9.272,-26.352,1001.864
-7.808,-36.112,1012.112
0.0,-42.456,1009.672
-8.296,-39.04,1007.232
-14.64,-27.816,1013.576
-8.784,-35.136,1007.232
-4.88,-47.336,1006.744
-11.712,-51.24,1017.968
-0.976,-33.672,996.008
-4.88,-35.624,998.936
-4.88,-41.48,1003.816
-5.856,-40.016,1005.28
-13.664,-39.04,1002.84
-9.272,-32.696,1000.888
-6.344,-30.256,998.936
-9.272,-28.304,996.984
-10.248,-29.768,1003.328
-13.176,-45.872,1010.648
-12.2,-46.36,1001.864
-3.904,-23.424,997.472
-1.952,-22.936,1004.792
-9.76,-36.112,1012.112
-6.832,-40.992,1014.552
-3.904,-28.304,1006.256
1.952,-25.864,1003.816
-8.784,-25.864,1013.088
-13.176,-37.576,1000.888
-11.712,-55.632,1016.504
-6.832,-54.168,1004.792
-5.368,-30.744,1007.232
-5.368,-17.08,1002.352
-9.272,-37.576,1009.184
-8.784,-51.24,999.424
-4.88,-39.04,997.96
-4.392,-27.328,996.984
0.488,-26.84,996.008
-8.296,-29.768,993.08
-8.296,-30.256,1007.232
-14.64,-29.28,1011.136
-6.832,-37.088,1016.992
-4.88,-43.92,1013.576
-5.368,-37.576,1009.184
-11.224,-20.008,1018.456
-12.688,-13.176,1021.384
-10.736,-36.112,1023.824
-5.368,-53.68,1012.6
-12.2,-40.016,1003.816
-15.128,-25.864,1012.6
-3.416,-28.792,1012.6
0.976,-30.744,1006.744
-1.952,-27.328,985.76
-11.224,-26.84,981.856
-6.344,-38.064,980.88
3.416,-38.064,965.264
-7.32,-16.592,969.168
-4.88,-9.76,963.312
-2.44,-26.84,934.52
-2.928,-26.352,939.4
-1.464,-30.256,897.432
21.472,-34.16,846.192
48.312,-20.496,793.976
54.168,0.488,691.496
37.576,-6.832,586.088
42.456,-43.432,510.448
61.0,-25.376,415.288
33.184,-87.84,444.568
-55.632,-263.52,519.72
-203.496,-441.152,610.488
-410.408,-516.304,654.408
-631.472,-439.688,719.312
-813.496,-258.152,835.944
-908.168,-4.392,1029.192
-919.392,163.968,1189.744
-941.84,81.008,1333.704
-965.752,-152.744,1410.32
-960.872,-253.76,1439.6
-931.104,-238.632,1412.272
-892.552,-147.376,1383.48
-795.44,-41.48,1303.448
-702.232,29.768,1213.656
-667.096,-12.688,1141.432
-668.56,-107.36,1065.792
-673.928,-170.8,974.048
-642.696,-174.216,909.144
-584.624,-164.456,861.32
-518.744,-147.864,915.0
-455.792,-116.632,915.0
-435.784,-102.48,851.072
-425.048,-130.784,797.392
-387.472,-170.312,809.104
-335.256,-194.224,865.712
-290.36,-183.976,896.944
-286.456,-167.872,898.408
-282.552,-124.928,888.16
-258.152,-94.184,846.192
-203.496,-69.296,874.984
-152.256,-78.08,908.656
-144.936,-91.256,937.448
-150.304,-102.968,908.168
-140.544,-113.704,889.624
-109.312,-92.72,891.576
-74.664,-59.536,915.488
-44.408,-24.888,931.104
-9.76,-14.152,905.728
-7.32,-30.744,899.872
-21.472,-59.536,921.344
-37.088,-51.24,938.912
-18.544,-18.544,967.216
-1.952,-13.176,973.56
9.272,-29.28,971.608
0.0,-43.92,975.024
-14.64,-40.992,967.704
-4.88,-5.856,948.672
16.592,8.296,951.112
40.016,-5.368,958.92
46.36,-13.176,979.904
45.384,-31.232,972.584
35.136,-38.064,951.112
53.192,3.904,921.832
68.32,29.768,947.208
67.832,34.648,968.192
43.432,20.984,959.896
41.48,22.448,955.504
33.672,0.0,974.048
34.16,-0.488,990.152
32.208,22.936,1024.8
31.232,34.648,1017.48
45.872,16.592,1009.184
39.528,1.464,1003.328
30.256,-6.344,1008.696
17.568,-7.808,1009.184
26.84,-2.928,1017.48
40.016,9.272,1004.304
31.232,-3.904,998.448
16.592,-23.424,1011.136
18.544,-10.736,1007.72
28.304,7.808,998.936
34.16,12.688,1006.744
21.96,-3.904,1005.768
17.568,-8.296,1001.864
21.472,-5.368,1001.864
17.08,7.808,1000.888
27.328,17.568,1015.04
22.448,8.784,1005.28
10.736,10.736,1009.184
5.856,11.712,1014.552
19.032,9.76,1008.208
18.544,6.344,1014.064
